,latitude,longitude,acq_date
311,-22.575,117.18299999999999,1/01/2020
312,-30.749000000000002,123.25399999999999,1/01/2020
313,-30.750999999999998,123.285,1/01/2020
314,-30.754,123.316,1/01/2020
315,-30.766,123.28299999999999,1/01/2020
316,-30.769000000000002,123.314,1/01/2020
317,-30.771,123.346,1/01/2020
318,-30.784000000000002,123.31299999999999,1/01/2020
319,-30.785999999999998,123.344,1/01/2020
320,-30.803,123.375,1/01/2020
321,-30.805999999999997,123.40700000000001,1/01/2020
322,-30.765,123.277,1/01/2020
323,-30.767,123.30799999999999,1/01/2020
324,-30.77,123.339,1/01/2020
325,-30.781999999999996,123.306,1/01/2020
326,-30.785,123.337,1/01/2020
327,-30.804000000000002,123.4,1/01/2020
328,-33.186,122.214,1/01/2020
329,-33.188,122.243,1/01/2020
330,-33.2,122.213,1/01/2020
331,-33.202,122.242,1/01/2020
332,-33.36,115.677,1/01/2020
333,-35.941,147.53,1/01/2020
334,-35.943000000000005,147.501,1/01/2020
335,-35.945,147.472,1/01/2020
336,-35.872,148.286,1/01/2020
337,-35.917,147.67,1/01/2020
338,-35.927,147.53,1/01/2020
339,-35.929,147.503,1/01/2020
340,-35.859,148.285,1/01/2020
341,-35.903,147.66899999999998,1/01/2020
342,-35.911,147.558,1/01/2020
343,-35.913000000000004,147.531,1/01/2020
344,-35.845,148.284,1/01/2020
345,-35.89,147.667,1/01/2020
346,-35.895,147.58700000000002,1/01/2020
347,-35.897,147.558,1/01/2020
348,-35.873000000000005,148.304,1/01/2020
349,-35.875,148.279,1/01/2020
350,-35.935,147.523,1/01/2020
351,-35.938,147.494,1/01/2020
352,-35.861999999999995,148.278,1/01/2020
353,-35.909,147.689,1/01/2020
354,-35.911,147.662,1/01/2020
355,-35.919000000000004,147.55,1/01/2020
356,-35.921,147.524,1/01/2020
357,-35.924,147.496,1/01/2020
358,-35.683,150.157,1/01/2020
359,-35.849000000000004,148.27700000000002,1/01/2020
360,-35.897,147.661,1/01/2020
361,-35.905,147.55100000000002,1/01/2020
362,-35.907,147.524,1/01/2020
363,-35.836,148.275,1/01/2020
364,-35.885,147.634,1/01/2020
365,-35.887,147.608,1/01/2020
366,-35.889,147.579,1/01/2020
367,-35.891,147.549,1/01/2020
368,-35.821999999999996,148.273,1/01/2020
369,-35.871,147.632,1/01/2020
370,-35.873000000000005,147.606,1/01/2020
371,-35.875,147.577,1/01/2020
372,-35.811,148.246,1/01/2020
373,-35.813,148.22,1/01/2020
374,-35.802,148.19299999999998,1/01/2020
375,-35.637,149.885,1/01/2020
376,-35.625,149.884,1/01/2020
